Amateurish! 	业余水平！ 
You know, for the past five years I've thought of you 	你知道，在过去五年里我只是把你当做 
I'm not. With the great players here, anyone could win. 	我不喜欢。和这里那些伟大的选手一起，任何人都能赢。 
I thought you loved painting. 	我以为你喜欢涂油漆。 
The device is delivered, instantaneously causing	仪器装好后，马上产生
Military office director louis caldera immediately issued an apology, acknowledging that the flyover caused "confusion and disruption."	白宫军事办公室主任路易斯卡尔德拉随即发布了一个道歉，承认这次航拍引起了“惶恐和混乱”。
I'll get the keys. We'll go right now. Let's go!	我去拿车钥匙。我们这就出发。走吧！
OK, uh... Here's her picture. 	嗯，啊……这是她照片 
America's huge budget deficit, economists say, is being bankrolled by china to the tune of one billion dollars per day through its purchase of us treasury bills--200 billion dollars last year and possibly as much as 300 billion dollars already this year.	经济学家们表示，多亏中国每天购买多达10亿美元的美国国债，美国的巨额预算赤字才得以缓解。去年中国购买美国国债总额为2000亿，而今年到目前为止可能已经达到3000亿美元。
Yeah, where do you want us? Stand by.	好吧，需要我们做什么？待命。
I've heard of that you took 5600 dollars 	我听说你拿了5600美元 
Gas tube in the hole. 	充气管塞入孔内。 
He's kind of a nutjob. 	他有点神经质。 
I see not a problem,	我看到的不是问题，
I don't have a page. 	我没有网页。 
I fucked up this morning. 	我今早把事情搞砸了。 
Yes. Here's an interesting bed with a mixture of daffodils, violets, lilies of the valley andbluebells. 	是啊，这个花坛很有趣，既有水仙、紫罗 兰，又有铃兰和越橘。 
But there are concerns that academic dishonesty could harm its image in the world.	但也有人担心学术欺诈可能会损害它在世界上的形象。
I took pictures on my phone and printed 'em out. 	我之前用手机拍下来打印出来了。 
I'll have it open in a second with this crowbar.	我马上就能用撬子打开它。
Tracing back, we could be proud that the two countries have established historic ties with one another for a fairy long time: as early as 1842, namely, three years after the foundation of new zealand, some chinese had set their feet on the land of new zealand.	追溯历史的足迹，中新两国的关系发展由来已久：早在1842年的时候，也就是在新西兰国家建立后的第三年，就有了中国人踏上新西兰国土的纪录。
That will be useful in Manchester. What's the hold - up?	在曼彻斯特这将会很有用有什么用吗？
A part of him lives within me, doesn't it? 	他的一部分活在我的体内，是吗？ 
I'm taking you off this one. don't.	我带你离开这。别这样。
We may have bought a little extra time there.	我们拖延了一点时间。
Others say mr bernanke has abused friedman's legacy.	但也有人认为伯克南滥用了弗里德曼的遗产。
Chang, you have a house outside the Forbidden City. Do you not?	张，你在紫禁城外有房子。不是吗？
As you can see, in place is also a photo mat.	你看的到这里满地都是招贴画。
I'm sorry. I have several clients today. 	抱歉，我今天排了很多病人。 
In 25 minutes tops.	最多只用25分钟。
Never got into the Russians. 	从来看不懂那些俄国人的书。 
Hopefully, that tarnished trophy wife of his is excluded. 	希望没把那败坏的战利品妻子写进去。 
I'd rather have had a retarded one. 	我宁愿要个智障儿。 
Laborers help transport a truck full of fresh dates to sukkur in pakistan's sindh province on july 26.	劳动者帮助运输卡车7月26日在巴基斯坦信德省苏库尔鲜枣。
Of course, but it's a fool's move in any game to overreact.	当然了，但是这么反应过激就很不明智了。
I don't know if he was followed or his investigation into me raised a red flag,	我不知道他是不是被跟踪了或是他调查我引起了别人的注意，
Just...just unhook my car. 	快...快放下我的车。 
Get upstairs! Go on, you, upstairs. 	上楼去！快点，你，上楼。 
She burns bright... And free.	她一把火烧尽了…未来还有她的自由。
Sure it wasnt the tv, mrs. levy?	你肯定那不是电视吗，莱维太太
Would you let me stop your heart? 	你愿不愿意让我帮你停止你的心跳？ 
I do wear flannel pajamas. 	所以我穿法兰绒睡衣。 
She's got paint on her overaiis! What is that? 	她的工作服上有油漆！这算什么？ 
What you do best.	做你们最擅长的。
Ahh, I'm sorry, I can't hear you. You're breaking up. 	啊，不好意思，我听不清。要断线了。 
Wilde made clear from the outset that he wished to show not only the thrills and pleasures of a ruthlessly aesthetic life but also its limits and dangers.	王尔德从一开始就非常明确，他希望不仅展示一个无情的审美生活的刺激和乐趣，也揭示其局限和危险。
